season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
10//11,Copa del Rey,semi-finals,2011-01-26,H,FC Barcelona,UD Almera,5:00,CF,9,1:00,Left-footed shot,Pedro,messi,False,False,1,0,5,2011,1,26,Wednesday,January,middle,first half
10//11,Copa del Rey,semi-finals,2011-01-26,H,FC Barcelona,UD Almera,5:00,CF,15,3:00,Left-footed shot,Andres Iniesta,messi,False,False,3,0,5,2011,1,26,Wednesday,January,middle,first half
10//11,LaLiga,21,2011-01-29,A,FC Barcelona,Hercules CF,0:03,CF,87,0:02,Left-footed shot,Dani Alves,messi,False,False,2,0,3,2011,1,29,Saturday,January,middle,second time
10//11,LaLiga,21,2011-01-29,A,FC Barcelona,Hercules CF,0:03,CF,89,0:03,Left-footed shot,Dani Alves,messi,False,False,3,0,3,2011,1,29,Saturday,January,middle,second time
10//11,LaLiga,22,2011-02-05,H,FC Barcelona,Atletico de Madrid,3:00,CF,16,1:00,Left-footed shot,Dani Alves,messi,False,False,1,0,3,2011,2,5,Saturday,February,middle,first half
10//11,LaLiga,22,2011-02-05,H,FC Barcelona,Atletico de Madrid,3:00,CF,28,2:00,Left-footed shot,Pedro,messi,False,False,2,0,3,2011,2,5,Saturday,February,middle,first half
10//11,LaLiga,22,2011-02-05,H,FC Barcelona,Atletico de Madrid,3:00,CF,78,3:00,Left-footed shot,David Villa,messi,False,False,3,0,3,2011,2,5,Saturday,February,middle,second time
10//11,LaLiga,24,2011-02-20,H,FC Barcelona,Athletic Bilbao,2:01,CF,78,2:01,Right-footed shot,Dani Alves,messi,False,False,2,1,2,2011,2,20,Sunday,February,middle,second time
10//11,LaLiga,25,2011-02-26,A,FC Barcelona,RCD Mallorca,0:03,CF,38,0:01,Header,Seydou Keita,messi,False,False,1,0,3,2011,2,26,Saturday,February,middle,first half
10//11,LaLiga,26,2011-03-02,A,FC Barcelona,Valencia CF,0:01,CF,77,0:01,Left-footed shot,Adriano,messi,False,False,1,0,1,2011,3,2,Wednesday,March,end,second time
10//11,UEFA Champions League,last 16,2011-03-08,H,FC Barcelona,Arsenal FC,3:01,RW,49,1:00,Left-footed shot,Andres Iniesta,messi,False,False,1,1,3,2011,3,8,Tuesday,March,end,second time
10//11,UEFA Champions League,last 16,2011-03-08,H,FC Barcelona,Arsenal FC,3:01,RW,72,3:01,Penalty,no assist,messi,False,False,3,1,3,2011,3,8,Tuesday,March,end,second time
10//11,LaLiga,31,2011-04-09,H,FC Barcelona,UD Almera,3:01,CF,52,1:01,Penalty,no assist,messi,False,False,1,1,3,2011,4,9,Saturday,April,end,second time
10//11,LaLiga,31,2011-04-09,H,FC Barcelona,UD Almera,3:01,CF,90+1,3:01,Left-footed shot,Seydou Keita,messi,False,False,3,1,3,2011,4,9,Saturday,April,end,plus 90
10//11,UEFA Champions League,quarter-finals,2011-04-12,A,FC Barcelona,Shakhtar Donetsk,0:01,CF,42,0:01,Left-footed shot,Dani Alves,messi,False,False,1,0,1,2011,4,12,Tuesday,April,end,first half
10//11,LaLiga,32,2011-04-16,A,FC Barcelona,Real Madrid,1:01,CF,53,0:01,Penalty,no assist,messi,False,False,1,1,1,2011,4,16,Saturday,April,end,second time
10//11,LaLiga,33,2011-04-23,H,FC Barcelona,CA Osasuna,2:00,CF,87,2:00,Right-footed shot,Dani Alves,messi,False,False,2,0,2,2011,4,23,Saturday,April,end,second time
10//11,UEFA Champions League,semi-finals,2011-04-27,A,FC Barcelona,Real Madrid,0:02,CF,76,0:01,Left-footed shot,Ibrahim Afellay,messi,False,False,1,0,2,2011,4,27,Wednesday,April,end,second time
10//11,UEFA Champions League,semi-finals,2011-04-27,A,FC Barcelona,Real Madrid,0:02,CF,87,0:02,Solo run,no assist,messi,False,False,2,0,2,2011,4,27,Wednesday,April,end,second time
10//11,UEFA Champions League,final,2011-05-28,H,FC Barcelona,Manchester United,3:01,CF,54,2:01,Left-footed shot,Andres Iniesta,messi,False,False,2,1,3,2011,5,28,Saturday,May,end,second time
11//12,Supercopa,final,2011-08-14,A,FC Barcelona,Real Madrid,2:02,CF,45,1:02,Left-footed shot,Thiago,messi,False,False,2,2,2,2011,8,14,Sunday,August,start,first half
11//12,Supercopa,final,2011-08-17,H,FC Barcelona,Real Madrid,3:02,CF,44,2:01,Right-footed shot,Gerard Pique,messi,False,False,2,2,3,2011,8,17,Wednesday,August,start,first half
11//12,Supercopa,final,2011-08-17,H,FC Barcelona,Real Madrid,3:02,CF,88,3:02,Left-footed shot,Adriano,messi,False,False,3,2,3,2011,8,17,Wednesday,August,start,second time
11//12,UEFA Super Cup,final,2011-08-26,H,FC Barcelona,FC Porto,2:00,CF,39,1:00,Left-footed shot,Dani Alves,messi,False,False,1,0,2,2011,8,26,Friday,August,start,first half
11//12,LaLiga,2,2011-08-29,H,FC Barcelona,Villarreal CF,5:00,CF,51,4:00,Right-footed shot,Andres Iniesta,messi,False,False,4,0,5,2011,8,29,Monday,August,start,second time
11//12,LaLiga,2,2011-08-29,H,FC Barcelona,Villarreal CF,5:00,CF,74,5:00,Left-footed shot,Thiago,messi,False,False,5,0,5,2011,8,29,Monday,August,start,second time
11//12,LaLiga,4,2011-09-17,H,FC Barcelona,CA Osasuna,8:00,CF,5,1:00,Left-footed shot,Dani Alves,messi,False,False,1,0,8,2011,9,17,Saturday,September,start,first half
11//12,LaLiga,4,2011-09-17,H,FC Barcelona,CA Osasuna,8:00,CF,41,5:00,Left-footed shot,Cesc Fabregas,messi,False,False,5,0,8,2011,9,17,Saturday,September,start,first half
11//12,LaLiga,4,2011-09-17,H,FC Barcelona,CA Osasuna,8:00,CF,79,8:00,Left-footed shot,Cesc Fabregas,messi,False,False,8,0,8,2011,9,17,Saturday,September,start,second time
11//12,LaLiga,6,2011-09-24,H,FC Barcelona,Atletico de Madrid,5:00,CF,26,3:00,Left-footed shot,Pedro,messi,False,False,3,0,5,2011,9,24,Saturday,September,start,first half
11//12,LaLiga,6,2011-09-24,H,FC Barcelona,Atletico de Madrid,5:00,CF,78,4:00,Left-footed shot,Dani Alves,messi,False,False,4,0,5,2011,9,24,Saturday,September,start,second time
11//12,LaLiga,6,2011-09-24,H,FC Barcelona,Atletico de Madrid,5:00,CF,90+1,5:00,Left-footed shot,David Villa,messi,False,False,5,0,5,2011,9,24,Saturday,September,start,plus 90
11//12,UEFA Champions League,group stage,2011-09-28,A,FC Barcelona,BATE Borisov,0:05,CF,38,0:03,Header,Andres Iniesta,messi,False,False,3,0,5,2011,9,28,Wednesday,September,start,first half
11//12,UEFA Champions League,group stage,2011-09-28,A,FC Barcelona,BATE Borisov,0:05,CF,56,0:04,Left-footed shot,Dani Alves,messi,False,False,4,0,5,2011,9,28,Wednesday,September,start,second time
11//12,LaLiga,8,2011-10-15,H,FC Barcelona,Racing Santander,3:00,CF,11,1:00,Right-footed shot,Andres Iniesta,messi,False,False,1,0,3,2011,10,15,Saturday,October,start,first half
11//12,LaLiga,8,2011-10-15,H,FC Barcelona,Racing Santander,3:00,CF,69,3:00,Right-footed shot,Cesc Fabregas,messi,False,False,3,0,3,2011,10,15,Saturday,October,start,second time
11//12,LaLiga,11,2011-10-29,H,FC Barcelona,RCD Mallorca,5:00,CF,13,1:00,Penalty,no assist,messi,False,False,1,0,5,2011,10,29,Saturday,October,start,first half
11//12,LaLiga,11,2011-10-29,H,FC Barcelona,RCD Mallorca,5:00,CF,21,2:00,Right-footed shot,Adriano,messi,False,False,2,0,5,2011,10,29,Saturday,October,start,first half
11//12,LaLiga,11,2011-10-29,H,FC Barcelona,RCD Mallorca,5:00,CF,30,3:00,Left-footed shot,Dani Alves,messi,False,False,3,0,5,2011,10,29,Saturday,October,start,first half
11//12,UEFA Champions League,group stage,2011-11-01,A,FC Barcelona,FC Viktoria Plzen,0:04,CF,24,0:01,Penalty,no assist,messi,False,False,1,0,4,2011,11,1,Tuesday,November,middle,first half
11//12,UEFA Champions League,group stage,2011-11-01,A,FC Barcelona,FC Viktoria Plzen,0:04,CF,45+2,0:02,Left-footed shot,Adriano,messi,False,False,2,0,4,2011,11,1,Tuesday,November,middle,first half
11//12,UEFA Champions League,group stage,2011-11-01,A,FC Barcelona,FC Viktoria Plzen,0:04,CF,90+2,0:04,Left-footed shot,Gerard Pique,messi,False,False,4,0,4,2011,11,1,Tuesday,November,middle,plus 90
11//12,LaLiga,12,2011-11-06,A,FC Barcelona,Athletic Bilbao,2:02,CF,90,2:02,Left-footed shot,Dani Alves,messi,False,False,2,2,2,2011,11,6,Sunday,November,middle,second time
11//12,LaLiga,13,2011-11-19,H,FC Barcelona,Real Zaragoza,4:00,CF,43,2:00,Right-footed shot,Cesc Fabregas,messi,False,False,2,0,4,2011,11,19,Saturday,November,middle,first half
11//12,UEFA Champions League,group stage,2011-11-23,A,FC Barcelona,AC Milan,2:03,SS,31,1:02,Penalty,no assist,messi,False,False,2,2,3,2011,11,23,Wednesday,November,middle,first half
11//12,LaLiga,17,2011-11-29,H,FC Barcelona,Rayo Vallecano,4:00,CF,49,4:00,Left-footed shot,Dani Alves,messi,False,False,4,0,4,2011,11,29,Tuesday,November,middle,second time
11//12,LaLiga,15,2011-12-03,H,FC Barcelona,Levante UD,5:00,CF,55,4:00,Left-footed shot,Dani Alves,messi,False,False,4,0,5,2011,12,3,Saturday,December,middle,second time
11//12,FIFA Club World Cup,final,2011-12-18,A,FC Barcelona,Santos FC,0:04,RW,17,0:01,Left-footed shot,Xavi,messi,False,False,1,0,4,2011,12,18,Sunday,December,middle,first half
11//12,FIFA Club World Cup,final,2011-12-18,A,FC Barcelona,Santos FC,0:04,RW,82,0:04,Left-footed shot,Dani Alves,messi,False,False,4,0,4,2011,12,18,Sunday,December,middle,second time
11//12,Copa del Rey,last 16,2012-01-04,H,FC Barcelona,CA Osasuna,4:00,CF,71,3:00,Header,Cesc Fabregas,messi,False,False,3,0,4,2012,1,4,Wednesday,January,middle,second time
11//12,Copa del Rey,last 16,2012-01-04,H,FC Barcelona,CA Osasuna,4:00,CF,90,4:00,Left-footed shot,Xavi,messi,False,False,4,0,4,2012,1,4,Wednesday,January,middle,second time
11//12,LaLiga,19,2012-01-15,H,FC Barcelona,Real Betis Balompie,4:02,CF,12,2:00,Right-footed shot,Alexis Sanchez,messi,False,False,2,2,4,2012,1,15,Sunday,January,middle,first half
11//12,LaLiga,19,2012-01-15,H,FC Barcelona,Real Betis Balompie,4:02,CF,86,4:02,Penalty,no assist,messi,False,False,4,2,4,2012,1,15,Sunday,January,middle,second time
11//12,LaLiga,1,2012-01-22,A,FC Barcelona,Malaga CF,1:04,CF,32,0:01,Header,Adriano,messi,False,False,1,1,4,2012,1,22,Sunday,January,middle,first half
11//12,LaLiga,1,2012-01-22,A,FC Barcelona,Malaga CF,1:04,CF,51,0:03,Left-footed shot,Thiago,messi,False,False,3,1,4,2012,1,22,Sunday,January,middle,second time
11//12,LaLiga,1,2012-01-22,A,FC Barcelona,Malaga CF,1:04,CF,77,0:04,Left-footed shot,Pedro,messi,False,False,4,1,4,2012,1,22,Sunday,January,middle,second time
11//12,LaLiga,22,2012-02-04,H,FC Barcelona,Real Sociedad,2:01,CF,72,2:00,Left-footed shot,Dani Alves,messi,False,False,2,1,2,2012,2,4,Saturday,February,middle,second time
11//12,UEFA Champions League,last 16,2012-02-14,A,FC Barcelona,Bayer 04 Leverkusen,1:03,CF,88,1:03,Left-footed shot,Dani Alves,messi,False,False,3,1,3,2012,2,14,Tuesday,February,middle,second time
11//12,LaLiga,24,2012-02-19,H,FC Barcelona,Valencia CF,5:01,CF,21,1:01,Left-footed shot,Dani Alves,messi,False,False,1,1,5,2012,2,19,Sunday,February,middle,first half
11//12,LaLiga,24,2012-02-19,H,FC Barcelona,Valencia CF,5:01,CF,27,2:01,Tap-in,Andres Iniesta,messi,False,False,2,1,5,2012,2,19,Sunday,February,middle,first half
11//12,LaLiga,24,2012-02-19,H,FC Barcelona,Valencia CF,5:01,CF,75,3:01,Left-footed shot,Cristian Tello,messi,False,False,3,1,5,2012,2,19,Sunday,February,middle,second time
11//12,LaLiga,24,2012-02-19,H,FC Barcelona,Valencia CF,5:01,CF,84,4:01,Left-footed shot,Sergio Busquets,messi,False,False,4,1,5,2012,2,19,Sunday,February,middle,second time
11//12,LaLiga,25,2012-02-26,A,FC Barcelona,Atletico de Madrid,1:02,CF,79,1:02,Direct free kick,no assist,messi,False,False,2,1,2,2012,2,26,Sunday,February,middle,second time
11//12,UEFA Champions League,last 16,2012-03-07,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,25,1:00,Left-footed shot,Xavi,messi,False,False,1,1,7,2012,3,7,Wednesday,March,end,first half
11//12,UEFA Champions League,last 16,2012-03-07,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,42,2:00,Left-footed shot,Andres Iniesta,messi,False,False,2,1,7,2012,3,7,Wednesday,March,end,first half
11//12,UEFA Champions League,last 16,2012-03-07,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,50,3:00,Right-footed shot,Cesc Fabregas,messi,False,False,3,1,7,2012,3,7,Wednesday,March,end,second time
11//12,UEFA Champions League,last 16,2012-03-07,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,58,5:00,Left-footed shot,Cesc Fabregas,messi,False,False,5,1,7,2012,3,7,Wednesday,March,end,second time
11//12,UEFA Champions League,last 16,2012-03-07,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,85,7:00,Left-footed shot,Seydou Keita,messi,False,False,7,1,7,2012,3,7,Wednesday,March,end,second time
11//12,LaLiga,27,2012-03-11,A,FC Barcelona,Racing Santander,0:02,CF,28,0:01,Left-footed shot,Cesc Fabregas,messi,False,False,1,0,2,2012,3,11,Sunday,March,end,first half
11//12,LaLiga,27,2012-03-11,A,FC Barcelona,Racing Santander,0:02,CF,55,0:02,Penalty,no assist,messi,False,False,2,0,2,2012,3,11,Sunday,March,end,second time
11//12,LaLiga,28,2012-03-17,A,FC Barcelona,Sevilla FC,0:02,CF,25,0:02,Left-footed shot,Andres Iniesta,messi,False,False,2,0,2,2012,3,17,Saturday,March,end,first half
11//12,LaLiga,29,2012-03-20,H,FC Barcelona,Granada CF,5:03,CF,16,2:00,Left-footed shot,Isaac Cuenca,messi,False,False,2,3,5,2012,3,20,Tuesday,March,end,first half
11//12,LaLiga,29,2012-03-20,H,FC Barcelona,Granada CF,5:03,CF,66,3:02,Left-footed shot,Dani Alves,messi,False,False,3,3,5,2012,3,20,Tuesday,March,end,second time
11//12,LaLiga,29,2012-03-20,H,FC Barcelona,Granada CF,5:03,CF,85,5:02,Left-footed shot,Dani Alves,messi,False,False,5,3,5,2012,3,20,Tuesday,March,end,second time
11//12,LaLiga,30,2012-03-24,A,FC Barcelona,RCD Mallorca,0:02,CF,25,0:01,Direct free kick,no assist,messi,False,False,1,0,2,2012,3,24,Saturday,March,end,first half
11//12,LaLiga,31,2012-03-31,H,FC Barcelona,Athletic Bilbao,2:00,CF,57,2:00,Penalty,no assist,messi,False,False,2,0,2,2012,3,31,Saturday,March,end,second time
11//12,UEFA Champions League,quarter-finals,2012-04-03,H,FC Barcelona,AC Milan,3:01,RW,11,1:00,Penalty,no assist,messi,False,False,1,1,3,2012,4,3,Tuesday,April,end,first half
11//12,UEFA Champions League,quarter-finals,2012-04-03,H,FC Barcelona,AC Milan,3:01,RW,42,2:01,Penalty,no assist,messi,False,False,2,1,3,2012,4,3,Tuesday,April,end,first half
11//12,LaLiga,32,2012-04-07,A,FC Barcelona,Real Zaragoza,1:04,CF,39,1:02,Left-footed shot,Alexis Sanchez,messi,False,False,2,1,4,2012,4,7,Saturday,April,end,first half
11//12,LaLiga,32,2012-04-07,A,FC Barcelona,Real Zaragoza,1:04,CF,86,1:03,Penalty,no assist,messi,False,False,3,1,4,2012,4,7,Saturday,April,end,second time
11//12,LaLiga,33,2012-04-10,H,FC Barcelona,Getafe CF,4:00,CF,44,2:00,Left-footed shot,Andres Iniesta,messi,False,False,2,0,4,2012,4,10,Tuesday,April,end,first half
11//12,LaLiga,34,2012-04-14,A,FC Barcelona,Levante UD,1:02,CF,64,1:01,Left-footed shot,Alexis Sanchez,messi,False,False,1,1,2,2012,4,14,Saturday,April,end,second time
11//12,LaLiga,34,2012-04-14,A,FC Barcelona,Levante UD,1:02,CF,73,1:02,Penalty,no assist,messi,False,False,2,1,2,2012,4,14,Saturday,April,end,second time
11//12,LaLiga,36,2012-04-29,A,FC Barcelona,Rayo Vallecano,0:07,CF,16,0:01,Left-footed shot,Pedro,messi,False,False,1,0,7,2012,4,29,Sunday,April,end,first half
11//12,LaLiga,36,2012-04-29,A,FC Barcelona,Rayo Vallecano,0:07,CF,88,0:07,Left-footed shot,Pedro,messi,False,False,7,0,7,2012,4,29,Sunday,April,end,second time
11//12,LaLiga,20,2012-05-02,H,FC Barcelona,Malaga CF,4:01,CF,34,2:01,Penalty,no assist,messi,False,False,2,1,4,2012,5,2,Wednesday,May,end,first half
11//12,LaLiga,20,2012-05-02,H,FC Barcelona,Malaga CF,4:01,CF,60,3:01,Penalty,no assist,messi,False,False,3,1,4,2012,5,2,Wednesday,May,end,second time
11//12,LaLiga,20,2012-05-02,H,FC Barcelona,Malaga CF,4:01,CF,63,4:01,Left-footed shot,Andres Iniesta,messi,False,False,4,1,4,2012,5,2,Wednesday,May,end,second time
11//12,LaLiga,37,2012-05-05,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,11,1:00,Direct free kick,no assist,messi,False,False,1,0,4,2012,5,5,Saturday,May,end,first half
11//12,LaLiga,37,2012-05-05,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,63,2:00,Penalty,no assist,messi,False,False,2,0,4,2012,5,5,Saturday,May,end,second time
11//12,LaLiga,37,2012-05-05,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,73,3:00,Left-footed shot,Adriano,messi,False,False,3,0,4,2012,5,5,Saturday,May,end,second time
11//12,LaLiga,37,2012-05-05,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,78,4:00,Penalty,no assist,messi,False,False,4,0,4,2012,5,5,Saturday,May,end,second time
11//12,Copa del Rey,final,2012-05-25,H,FC Barcelona,Athletic Bilbao,3:00,CF,20,2:00,Right-footed shot,Andres Iniesta,messi,False,False,2,0,3,2012,5,25,Friday,May,end,first half
12//13,LaLiga,1,2012-08-19,H,FC Barcelona,Real Sociedad,5:01,CF,10,2:01,Left-footed shot,Pedro,messi,False,False,2,1,5,2012,8,19,Sunday,August,start,first half
12//13,LaLiga,1,2012-08-19,H,FC Barcelona,Real Sociedad,5:01,CF,15,3:01,Left-footed shot,Cristian Tello,messi,False,False,3,1,5,2012,8,19,Sunday,August,start,first half
12//13,Supercopa,final,2012-08-23,H,FC Barcelona,Real Madrid,3:02,CF,60,2:01,Penalty,no assist,messi,False,False,2,2,3,2012,8,23,Thursday,August,start,second time
12//13,LaLiga,2,2012-08-26,A,FC Barcelona,CA Osasuna,1:02,CF,74,1:01,Left-footed shot,Alexis Sanchez,messi,False,False,1,1,2,2012,8,26,Sunday,August,start,second time
12//13,LaLiga,2,2012-08-26,A,FC Barcelona,CA Osasuna,1:02,CF,79,1:02,Left-footed shot,Jordi Alba,messi,False,False,2,1,2,2012,8,26,Sunday,August,start,second time
12//13,Supercopa,final,2012-08-29,A,FC Barcelona,Real Madrid,2:01,CF,45,2:01,Direct free kick,no assist,messi,False,False,1,2,1,2012,8,29,Wednesday,August,start,first half
12//13,LaLiga,4,2012-09-15,A,FC Barcelona,Getafe CF,1:04,CF,74,0:02,Penalty,no assist,messi,False,False,2,1,4,2012,9,15,Saturday,September,start,second time
12//13,LaLiga,4,2012-09-15,A,FC Barcelona,Getafe CF,1:04,CF,78,0:03,Left-footed shot,Pedro,messi,False,False,3,1,4,2012,9,15,Saturday,September,start,second time
12//13,UEFA Champions League,group stage,2012-09-19,H,FC Barcelona,Spartak Moscow,3:02,CF,71,2:02,Left-footed shot,Cristian Tello,messi,False,False,2,2,3,2012,9,19,Wednesday,September,start,second time
12//13,UEFA Champions League,group stage,2012-09-19,H,FC Barcelona,Spartak Moscow,3:02,CF,80,3:02,Header,Alexis Sanchez,messi,False,False,3,2,3,2012,9,19,Wednesday,September,start,second time
12//13,LaLiga,7,2012-10-07,H,FC Barcelona,Real Madrid,2:02,CF,31,1:01,Left-footed shot,Alexis Sanchez,messi,False,False,1,2,2,2012,10,7,Sunday,October,start,first half
12//13,LaLiga,7,2012-10-07,H,FC Barcelona,Real Madrid,2:02,CF,60,2:01,Direct free kick,no assist,messi,False,False,2,2,2,2012,10,7,Sunday,October,start,second time
12//13,LaLiga,8,2012-10-20,A,FC Barcelona,Deportivo de La Coruaa,4:05,CF,17,0:03,Left-footed shot,Cesc Fabregas,messi,False,False,3,4,5,2012,10,20,Saturday,October,start,first half
12//13,LaLiga,8,2012-10-20,A,FC Barcelona,Deportivo de La Coruaa,4:05,CF,43,2:04,Left-footed shot,Cesc Fabregas,messi,False,False,4,4,5,2012,10,20,Saturday,October,start,first half
12//13,LaLiga,8,2012-10-20,A,FC Barcelona,Deportivo de La Coruaa,4:05,CF,76,3:05,Left-footed shot,Xavi,messi,False,False,5,4,5,2012,10,20,Saturday,October,start,second time
12//13,LaLiga,9,2012-10-27,A,FC Barcelona,Rayo Vallecano,0:05,CF,48,0:02,Left-footed shot,Marta Montoya,messi,False,False,2,0,5,2012,10,27,Saturday,October,start,second time
12//13,LaLiga,9,2012-10-27,A,FC Barcelona,Rayo Vallecano,0:05,CF,89,0:05,Right-footed shot,Cesc Fabregas,messi,False,False,5,0,5,2012,10,27,Saturday,October,start,second time
12//13,UEFA Champions League,group stage,2012-11-07,A,FC Barcelona,Celtic FC,2:01,CF,90+1,2:01,Tap-in,Andres Iniesta,messi,False,False,1,2,1,2012,11,7,Wednesday,November,middle,plus 90
12//13,LaLiga,11,2012-11-11,A,FC Barcelona,RCD Mallorca,2:04,CF,43,0:02,Left-footed shot,Sergio Busquets,messi,False,False,2,2,4,2012,11,11,Sunday,November,middle,first half
12//13,LaLiga,11,2012-11-11,A,FC Barcelona,RCD Mallorca,2:04,CF,70,2:04,Left-footed shot,Alexis Sanchez,messi,False,False,4,2,4,2012,11,11,Sunday,November,middle,second time
12//13,LaLiga,12,2012-11-17,H,FC Barcelona,Real Zaragoza,3:01,CF,15,1:00,Left-footed shot,Jordi Alba,messi,False,False,1,1,3,2012,11,17,Saturday,November,middle,first half
12//13,LaLiga,12,2012-11-17,H,FC Barcelona,Real Zaragoza,3:01,CF,60,3:01,Left-footed shot,Marta Montoya,messi,False,False,3,1,3,2012,11,17,Saturday,November,middle,second time
12//13,UEFA Champions League,group stage,2012-11-20,A,FC Barcelona,Spartak Moscow,0:03,CF,27,0:02,Right-footed shot,Alexis Sanchez,messi,False,False,2,0,3,2012,11,20,Tuesday,November,middle,first half
12//13,UEFA Champions League,group stage,2012-11-20,A,FC Barcelona,Spartak Moscow,0:03,CF,39,0:03,Left-footed shot,Pedro,messi,False,False,3,0,3,2012,11,20,Tuesday,November,middle,first half
12//13,LaLiga,13,2012-11-25,A,FC Barcelona,Levante UD,0:04,CF,46,0:01,Left-footed shot,Andres Iniesta,messi,False,False,1,0,4,2012,11,25,Sunday,November,middle,second time
12//13,LaLiga,13,2012-11-25,A,FC Barcelona,Levante UD,0:04,CF,51,0:02,Left-footed shot,Andres Iniesta,messi,False,False,2,0,4,2012,11,25,Sunday,November,middle,second time
12//13,LaLiga,14,2012-12-01,H,FC Barcelona,Athletic Bilbao,5:01,CF,24,2:00,Left-footed shot,Xavi,messi,False,False,2,1,5,2012,12,1,Saturday,December,middle,first half
12//13,LaLiga,14,2012-12-01,H,FC Barcelona,Athletic Bilbao,5:01,CF,69,5:01,Right-footed shot,Pedro,messi,False,False,5,1,5,2012,12,1,Saturday,December,middle,second time
